"indexes";"Company";"TypeName";"Inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price";"ppi"
184;"Xiaomi";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"N/A";2.0;63883.0;141
185;"Dell";"Notebook";17.3;"large";1920;1080;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"windows";2.8;82531.0;127
186;"Dell";"Notebook";15.6;"medium";3840;2160;1;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"windows";2.1;127712.0;282
187;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"N/A";2.4;41505.0;141
188;"Acer";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i5";1.2;8;"SSD";256;0;"Intel";"windows";1.1;52694.0;166
189;"Dell";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"AMD";"windows";2.8;57809.0;127
191;"Vero";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";"windows";1.3;13853.0;157
192;"Xiaomi";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"N/A";1.3;53275.0;166
193;"Lenovo";"Notebook";17.3;"large";1600;900;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"N/A";2.8;37189.0;106
194;"Dell";"2 in 1 Convertible";13.3;"small";1920;1080;1;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Intel";"windows";1.6;44702.0;166
195;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"windows";2.5;48698.0;127
196;"Razer";"Gaming";17.3;"large";3840;2160;1;"Intel";"Core i7";2.9;32;"SSD";1024;0;"Nvidia";"windows";3.5;324955.0;255
197;"HP";"Notebook";13.3;"small";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";512;0;"Intel";"windows";1.5;51096.0;166
198;"HP";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";3.4;73473.0;127
199;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";2.5;55678.0;127
200;"Dell";"Gaming";15.6;"medium";3840;2160;0;"Intel";"Core i7";2.8;16;"Hybrid";512;1024;"Nvidia";"windows";2.7;98302.0;282
201;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.3;4;"SSD";128;0;"Intel";"windows";2.1;26267.0;100
202;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Nvidia";"windows";2.2;39534.0;141
203;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";512;1024;"Nvidia";"windows";3.2;93187.0;141
204;"Dell";"Workstation";15.6;"medium";3840;2160;0;"Intel";"Xeon E3-1505M";3.0;16;"Hybrid";256;1024;"Nvidia";"windows";2.8;162770.0;282
205;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"N/A";2.4;74485.0;141
206;"Dell";"Notebook";15.6;"medium";1366;768;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";"windows";2.3;23390.0;100
207;"Dell";"Ultrabook";13.3;"small";3840;2160;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.2;103843.0;331
208;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";0.0;77203.0;166
210;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"linux";2.4;41505.0;141
211;"Asus";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.9;74965.0;127
212;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"N/A";2.1;18595.0;141
213;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"N/A";2.2;29251.0;141
214;"Huawei";"Ultrabook";13.0;"small";2160;1440;0;"Intel";"Core i7";2.7;8;"SSD";512;0;"Intel";"windows";1.1;79867.0;200
215;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"windows";1.4;49651.0;166
216;"Lenovo";"Notebook";17.3;"large";1600;900;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";"N/A";2.8;31382.0;106
217;"HP";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";1.6;54932.0;157
218;"Dell";"Ultrabook";14.0;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.6;61219.0;157
219;"Dell";"2 in 1 Convertible";13.3;"small";1920;1080;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"windows";1.6;68145.0;166
220;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"linux";2.2;36089.0;141
221;"Lenovo";"2 in 1 Convertible";14.0;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.7;47899.0;157
222;"Toshiba";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i7";2.5;8;"SSD";256;0;"Intel";"windows";1.2;72621.0;166
223;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Intel";"windows";2.1;42304.0;141
224;"Dell";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";4.4;130874.0;127
225;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"windows";2.2;44329.0;141
226;"Dell";"Notebook";15.6;"medium";1920;1080;1;"Intel";"Core i7";2.7;16;"HDD";1024;0;"AMD";"windows";2.3;45768.0;141
227;"Asus";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"windows";2.0;40972.0;141
228;"Asus";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";256;500;"Nvidia";"windows";2.7;47472.0;127
229;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"AMD";"windows";1.9;67612.0;141
230;"Asus";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";"windows";2.4;21258.0;100
231;"HP";"Notebook";15.6;"medium";1366;768;0;"AMD";"E-Series 9000e";1.5;4;"HDD";500;0;"AMD";"windows";2.1;17582.0;100
232;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";3.2;79867.0;141
233;"Dell";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.6;45768.0;157
234;"Acer";"2 in 1 Convertible";13.3;"small";1920;1080;1;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";"windows";1.6;36710.0;166
235;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;16;"SSD";256;0;"AMD";"linux";2.4;47899.0;141
236;"Acer";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"linux";2.1;20779.0;100
237;"Asus";"Notebook";15.6;"medium";1920;1080;0;"AMD";"A10-Series A10-9620P";2.5;4;"Hybrid";128;1024;"AMD";"windows";2.2;30636.0;141
238;"Asus";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.9;32;"Hybrid";512;1024;"Nvidia";"windows";4.7;207259.0;127
239;"Acer";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"windows";2.5;45075.0;141
240;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.0;8;"SSD";128;0;"Intel";"windows";7.2;31382.0;100
241;"Asus";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Nvidia";"windows";2.1;61006.0;127
242;"Asus";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";2.7;8;"Hybrid";128;1024;"Nvidia";"N/A";2.7;47366.0;127
243;"Dell";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"windows";2.6;46833.0;141
244;"Lenovo";"2 in 1 Convertible";13.9;"small";1920;1080;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";1.4;57489.0;158
245;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;2048;"AMD";"windows";2.2;52481.0;141
246;"HP";"Notebook";15.6;"medium";1366;768;1;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";"windows";2.0;29784.0;100
247;"Asus";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.9;16;"SSD";256;0;"Nvidia";"windows";3.6;159787.0;127
248;"HP";"Notebook";13.3;"small";1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"windows";1.5;35964.0;166
249;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";512;0;"Intel";"macos";1.4;108691.0;227
250;"Dell";"2 in 1 Convertible";15.6;"medium";1920;1080;1;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Intel";"windows";2.1;43636.0;141
251;"Asus";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";4.3;95851.0;127
252;"Asus";"Notebook";15.6;"medium";1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"windows";1.7;24988.0;100
253;"Lenovo";"2 in 1 Convertible";13.9;"small";1920;1080;1;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";"windows";1.4;98515.0;158
254;"Acer";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i3";2.7;4;"SSD";256;0;"Nvidia";"windows";3.0;37403.0;127
255;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.4;50563.0;166
256;"HP";"Notebook";15.6;"medium";1366;768;0;"AMD";"A6-Series A6-9220";2.5;8;"SSD";128;0;"AMD";"windows";1.9;23758.0;100
257;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;16;"HDD";1024;0;"Nvidia";"windows";2.9;56424.0;127
258;"MSI";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";512;1024;"Nvidia";"windows";4.1;133147.0;127
259;"Lenovo";"2 in 1 Convertible";15.6;"medium";1920;1080;1;"Intel";"Core i7";2.8;8;"SSD";512;0;"Nvidia";"windows";2.0;90523.0;141
260;"Dell";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"AMD";"windows";2.8;60846.0;127
261;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";"N/A";2.2;23656.0;141
262;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"windows";2.1;38468.0;141
263;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"windows";2.2;35005.0;141
264;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"AMD";"windows";2.2;30103.0;141
265;"Dell";"2 in 1 Convertible";15.6;"medium";1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";2.7;42571.0;141
266;"Asus";"2 in 1 Convertible";13.3;"small";1920;1080;1;"Intel";"Core i7";1.8;8;"SSD";512;512;"Intel";"windows";4.1;79867.0;166
268;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Nvidia";"windows";2.5;54239.0;127
269;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";2.1;46886.0;141
270;"Apple";"Ultrabook";13.3;"small";2560;1600;0;"Intel";"Core i5";2.9;8;"SSD";512;0;"Intel";"macos";1.4;104370.0;227
271;"Asus";"Gaming";17.3;"large";1920;1080;0;"AMD";"Ryzen 1700";3.0;16;"Hybrid";256;1024;"AMD";"windows";3.2;82531.0;127
272;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"linux";2.1;39165.0;141
273;"Lenovo";"2 in 1 Convertible";14.0;"medium";2560;1440;1;"Intel";"Core i7";2.6;16;"SSD";512;0;"Intel";"windows";1.4;133147.0;210
274;"Toshiba";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i7";2.5;8;"HDD";500;0;"Nvidia";"windows";2.2;43263.0;100
275;"Dell";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i7";2.7;12;"HDD";1024;0;"Intel";"windows";2.3;37992.0;100
276;"Dell";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"AMD";"linux";2.8;58555.0;127
277;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Nvidia";"windows";2.2;39694.0;141
278;"Lenovo";"Notebook";17.3;"large";1600;900;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";2.8;26054.0;106
279;"Lenovo";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";2048;0;"Nvidia";"N/A";2.8;45235.0;127
280;"Lenovo";"Notebook";17.3;"large";1600;900;0;"Intel";"Core i7";2.7;6;"Hybrid";128;1024;"Nvidia";"windows";2.8;45768.0;106
281;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";"linux";2.3;22804.0;141
282;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"windows";2.5;44169.0;141
283;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;6;"SSD";256;0;"Intel";"windows";2.2;30849.0;141
284;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";3.0;50669.0;141
285;"Acer";"Notebook";15.6;"medium";1920;1080;1;"Intel";"Core i7";2.7;12;"HDD";1024;0;"Intel";"windows";2.2;35112.0;141
286;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";2.0;58448.0;141
287;"Asus";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"windows";1.7;52055.0;141
288;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.5;62817.0;141
289;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Nvidia";"N/A";2.2;35112.0;141
290;"Acer";"Notebook";15.6;"medium";1366;768;0;"Intel";"Celeron Dual";1.5;2;"SSD";16;0;"Intel";"other";2.2;10603.0;100
291;"Asus";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"windows";3.0;63243.0;127
292;"HP";"Notebook";17.3;"large";1600;900;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"windows";2.5;26054.0;106
293;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"windows";2.0;97449.0;141
294;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";2.1;39374.0;141
295;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"windows";3.2;69211.0;141
296;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"linux";2.5;52161.0;141
297;"Dell";"Workstation";17.3;"large";1920;1080;0;"Intel";"Core i7";2.9;16;"SSD";256;0;"Nvidia";"windows";3.4;153705.0;127
298;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"AMD";"A10-Series 9600P";2.4;6;"HDD";1024;0;"AMD";"windows";2.4;26587.0;141
299;"Asus";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"Nvidia";"windows";1.6;78215.0;141
300;"Asus";"Notebook";14.0;"medium";1366;768;0;"Intel";"Core i3";2.4;4;"SSD";128;0;"Intel";"windows";1.3;27120.0;112
301;"Asus";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.9;113060.0;127
302;"Lenovo";"Notebook";17.3;"large";1600;900;0;"Intel";"Core i5";2.5;6;"HDD";1024;0;"Nvidia";"windows";5.8;34579.0;106
303;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Nvidia";"N/A";2.2;29251.0;100
304;"Asus";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"windows";2.5;67399.0;141
305;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";"N/A";2.2;19180.0;100
306;"HP";"2 in 1 Convertible";13.3;"small";1920;1080;1;"Intel";"Core i7";2.8;16;"SSD";256;0;"Intel";"windows";1.3;105228.0;166
307;"Toshiba";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.5;8;"SSD";256;0;"Nvidia";"windows";2.2;55571.0;141
308;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";2.3;43636.0;141
309;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";1.9;24988.0;141
310;"Lenovo";"Notebook";13.3;"small";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.1;53227.0;166
311;"Dell";"Ultrabook";13.3;"small";3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";1024;0;"Intel";"windows";1.2;133147.0;331
312;"MSI";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.8;111835.0;141
313;"Acer";"Notebook";15.6;"medium";1920;1080;0;"AMD";"A8-Series 7410";2.2;8;"SSD";256;0;"AMD";"windows";2.2;24988.0;141
314;"Asus";"2 in 1 Convertible";11.6;"small";1366;768;1;"Intel";"Celeron Dual";1.1;2;"Flash Storage";32;0;"Intel";"windows";1.1;14652.0;135
315;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";"windows";2.3;44968.0;141
316;"HP";"2 in 1 Convertible";13.3;"small";3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";1024;0;"Intel";"windows";1.3;130483.0;331
317;"Lenovo";"Notebook";13.3;"small";1366;768;0;"Intel";"Celeron Dual";1.6;4;"Flash Storage";16;0;"Intel";"other";1.5;24503.0;118
318;"HP";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";2.0;52214.0;157
319;"Acer";"Notebook";11.6;"small";1366;768;0;"Intel";"Pentium Quad";1.6;4;"Flash Storage";128;0;"Intel";"windows";1.4;25841.0;135
320;"HP";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";1.5;68838.0;157
321;"Lenovo";"Notebook";17.3;"large";1600;900;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Nvidia";"windows";2.8;31382.0;106
322;"Asus";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";2.0;58288.0;157
323;"HP";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Intel";"windows";2.1;48059.0;100
324;"Acer";"Notebook";15.6;"medium";1366;768;0;"AMD";"A12-Series 9720P";2.7;8;"SSD";256;0;"AMD";"windows";2.2;35112.0;100
325;"Lenovo";"Notebook";14.0;"medium";1366;768;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";"windows";1.4;15558.0;112
326;"Acer";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.5;6;"HDD";1024;0;"Intel";"windows";8.2;29251.0;100
327;"Asus";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"windows";1.7;55939.0;141
328;"HP";"Ultrabook";12.5;"small";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";1.3;71129.0;176
329;"Dell";"Notebook";15.6;"medium";3840;2160;1;"Intel";"Core i7";2.8;32;"SSD";1024;0;"Nvidia";"windows";2.1;140606.0;282
330;"MSI";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";256;1024;"Nvidia";"windows";2.7;63883.0;127
331;"Toshiba";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";2.0;50243.0;141
332;"Asus";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"Hybrid";256;1024;"Intel";"windows";2.0;71076.0;157
333;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";1.9;23923.0;141
334;"Asus";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"windows";2.5;53227.0;141
335;"HP";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";2.6;8;"SSD";256;0;"Intel";"windows";1.5;67559.0;157
337;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.8;60952.0;141
338;"Asus";"Notebook";15.6;"medium";1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"linux";2.0;14651.0;100
339;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"windows";2.0;60886.0;141
340;"Dell";"Notebook";15.6;"medium";1366;768;0;"Intel";"Celeron Dual";1.6;4;"HDD";500;0;"Intel";"linux";2.2;14647.0;100
341;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"AMD";"A12-Series 9720P";3.6;12;"HDD";2048;0;"AMD";"windows";2.2;47899.0;141
342;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";"windows";2.1;38148.0;141
343;"Lenovo";"2 in 1 Convertible";13.9;"small";3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"windows";1.4;111835.0;317
344;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.2;84129.0;166
345;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"windows";2.4;60153.0;141
346;"HP";"Notebook";14.0;"medium";1366;768;0;"Intel";"Celeron Dual";1.6;2;"Flash Storage";32;0;"Intel";"windows";1.4;14865.0;112
347;"Dell";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.9;16;"SSD";512;256;"Intel";"windows";1.9;85672.0;141
348;"Asus";"2 in 1 Convertible";11.6;"small";1366;768;1;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";"windows";1.5;19980.0;135
349;"Dell";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";"windows";0.0;35325.0;141
351;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";1.8;69477.0;141
352;"MSI";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"windows";2.7;75072.0;127
353;"HP";"Workstation";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"windows";2.6;92615.0;141
354;"Toshiba";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.5;16;"SSD";512;0;"Nvidia";"windows";2.4;74752.0;141
355;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;2048;"AMD";"windows";2.0;51730.0;141
356;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"N/A";2.2;17156.0;100
357;"Dell";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";"windows";2.7;53227.0;141
358;"Dell";"Notebook";15.6;"medium";1366;768;1;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";"windows";2.4;29697.0;100
359;"Dell";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";2.6;8;"SSD";256;0;"Intel";"windows";1.4;76031.0;157
360;"HP";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"windows";1.9;23390.0;100
361;"Asus";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";2.0;50350.0;157
362;"Lenovo";"Notebook";17.3;"large";1600;900;0;"Intel";"Core i5";2.5;6;"Hybrid";128;1024;"Nvidia";"windows";2.8;38308.0;106
363;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";"windows";1.9;34046.0;141
364;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.0;8;"SSD";256;0;"Nvidia";"N/A";2.2;26587.0;100
365;"HP";"Notebook";15.6;"medium";1366;768;0;"Intel";"Pentium Quad";1.6;8;"HDD";2048;0;"Intel";"windows";2.0;20726.0;100
366;"Dell";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";"windows";2.8;57809.0;127
